rowname,draw,ddraw,epan_ipw,epan_N
health_private_surv10,0,      0.0000,    -10.4842,     46.0000
health_private_surv11,0,      0.0000,    547.0642,     46.0000
health_private_surv12,0,      0.0000,    101.3532,     46.0000
health_private_surv13,0,      0.0000,     80.0265,     46.0000
health_private_surv14,0,      0.0000,     46.6337,     46.0000
health_private_surv15,0,      0.0000,    263.4989,     46.0000
health_private_surv16,0,      0.0000,    174.7854,     46.0000
health_private_surv17,0,      0.0000,   -250.2186,     46.0000
health_private_surv18,0,      0.0000,   -414.5427,     46.0000
health_private_surv19,0,      0.0000,    230.3612,     46.0000
health_private_surv20,0,      0.0000,    138.9696,     46.0000
health_private_surv21,0,      0.0000,   -180.6150,     46.0000
health_private_surv22,0,      0.0000,     93.8614,     46.0000
health_private_surv23,0,      0.0000,   -126.7525,     46.0000
health_private_surv24,0,      0.0000,    534.4380,     46.0000
health_private_surv25,0,      0.0000,     -9.5388,     46.0000
health_private_surv26,0,      0.0000,    324.3564,     46.0000
health_private_surv27,0,      0.0000,    535.8742,     46.0000
health_private_surv28,0,      0.0000,     39.8281,     46.0000
health_private_surv29,0,      0.0000,    119.0415,     46.0000
health_private_surv30,0,      0.0000,  -2732.0703,     18.0000
health_private_surv31,0,      0.0000,  -2255.0340,     18.0000
health_private_surv32,0,      0.0000,  -1539.2784,     18.0000
health_private_surv33,0,      0.0000,  -1814.1580,     18.0000
health_private_surv34,0,      0.0000,  -2089.0376,     18.0000
health_private_surv35,0,      0.0000,  -1657.5888,     18.0000
health_private_surv36,0,      0.0000,  -1226.1399,     18.0000
health_private_surv37,0,      0.0000,  -1171.2361,     18.0000
health_private_surv38,0,      0.0000,  -1144.8965,     18.0000
health_private_surv39,0,      0.0000,   -908.2266,     18.0000
health_private_surv40,0,      0.0000,  -1134.1496,     18.0000
health_private_surv41,0,      0.0000,  -1273.9624,     18.0000
health_private_surv42,0,      0.0000,  -1413.7758,     18.0000
health_private_surv43,0,      0.0000,  -1158.9205,     18.0000
health_private_surv44,0,      0.0000,   -904.0647,     18.0000
health_private_surv45,0,      0.0000,  -1217.1004,     18.0000
health_private_surv46,0,      0.0000,  -1530.1365,     18.0000
health_private_surv47,0,      0.0000,  -1535.3795,     18.0000
health_private_surv48,0,      0.0000,  -1540.6221,     18.0000
health_private_surv49,0,      0.0000,  -1445.7327,     18.0000
health_private_surv50,0,      0.0000,  -1350.8436,     18.0000
health_private_surv51,0,      0.0000,   -930.9848,     18.0000
health_private_surv52,0,      0.0000,   -511.1258,     18.0000
health_private_surv53,0,      0.0000,   -607.5619,     18.0000
health_private_surv54,0,      0.0000,   -703.9989,     18.0000
health_private_surv55,0,      0.0000,   -900.6565,     18.0000
health_private_surv56,0,      0.0000,  -1097.3141,     18.0000
health_private_surv57,0,      0.0000,   -841.1899,     18.0000
health_private_surv58,0,      0.0000,   -585.0653,     18.0000
health_private_surv59,0,      0.0000,  -1248.5894,     18.0000
health_private_surv60,0,      0.0000,  -1912.1143,     18.0000
health_private_surv61,0,      0.0000,  -1394.7858,     18.0000
health_private_surv62,0,      0.0000,   -877.4578,     18.0000
health_private_surv63,0,      0.0000,  -1215.0354,     18.0000
health_private_surv64,0,      0.0000,  -1552.6147,     18.0000
health_private_surv65,0,      0.0000,  -1067.3531,     18.0000
health_private_surv66,0,      0.0000,   -582.0918,     18.0000
health_private_surv67,0,      0.0000,   -935.8204,     18.0000
health_private_surv68,0,      0.0000,  -1289.5495,     18.0000
health_private_surv69,0,      0.0000,   -638.2144,     18.0000
health_private_surv70,0,      0.0000,     13.1226,     18.0000
health_private_surv71,0,      0.0000,   -969.4161,     18.0000
health_private_surv72,0,      0.0000,  -1951.9554,     18.0000
health_private_surv73,0,      0.0000,  -2585.6110,     18.0000
health_private_surv74,0,      0.0000,  -3219.2717,     18.0000
health_private_surv75,0,      0.0000,  -2970.5135,     18.0000
health_private_surv76,0,      0.0000,  -2721.7567,     18.0000
health_private_surv77,0,      0.0000,  -3574.0905,     18.0000
health_private_surv78,0,      0.0000,  -4426.4218,     18.0000
health_private_surv79,0,      0.0000,  -2908.5880,     18.0000
health_private_surv8,0,      0.0000,     15.2243,     18.0000
health_private_surv9,0,      0.0000,  -1295.4144,     18.0000
health_private_surv10,0,      1.0000,     34.0407,     56.0000
health_private_surv11,0,      1.0000,    472.9415,     56.0000
health_private_surv12,0,      1.0000,    208.3483,     56.0000
health_private_surv13,0,      1.0000,     68.5731,     56.0000
health_private_surv14,0,      1.0000,     53.0809,     56.0000
health_private_surv15,0,      1.0000,   -121.4529,     56.0000
health_private_surv16,0,      1.0000,   -145.4539,     56.0000
health_private_surv17,0,      1.0000,   -564.1996,     56.0000
health_private_surv18,0,      1.0000,   -714.1824,     56.0000
health_private_surv19,0,      1.0000,   -287.8952,     56.0000
health_private_surv20,0,      1.0000,   -234.9451,     56.0000
health_private_surv21,0,      1.0000,    626.2276,     56.0000
health_private_surv22,0,      1.0000,    403.5049,     56.0000
health_private_surv23,0,      1.0000,   -280.7441,     56.0000
health_private_surv24,0,      1.0000,    924.1014,     56.0000
health_private_surv25,0,      1.0000,    458.6626,     56.0000
health_private_surv26,0,      1.0000,    204.4086,     56.0000
health_private_surv27,0,      1.0000,     95.3128,     56.0000
health_private_surv28,0,      1.0000,    337.6813,     56.0000
health_private_surv29,0,      1.0000,   -540.4842,     56.0000
health_private_surv30,0,      1.0000,  -4851.4207,     18.0000
health_private_surv31,0,      1.0000,  -4291.9537,     18.0000
health_private_surv32,0,      1.0000,  -3246.4473,     18.0000
health_private_surv33,0,      1.0000,  -3129.2840,     18.0000
health_private_surv34,0,      1.0000,  -3012.1204,     18.0000
health_private_surv35,0,      1.0000,  -3130.3341,     18.0000
health_private_surv36,0,      1.0000,  -3248.5478,     18.0000
